filename,artist,bpm,key,camelot,energy,genres,format,path
SERGIK - Moon Settler.wav,Unknown Artist,117.5,A minor,8A,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Moon Settler.wav
SERGIK - Whats the Plan Ft. WWW.wav,Unknown Artist,86.1,A major,11B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Whats the Plan Ft. WWW.wav
SERGIK x Bob Marley and The Wailers - Get up Stand up.wav,Unknown Artist,152.0,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Bob Marley and The Wailers - Get up Stand up.wav
SERGIK - Funkshway - ANALOG RECORDING.wav,Unknown Artist,117.5,D major,10B,6,funk,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Funkshway - ANALOG RECORDING.wav
SERGIK - Self Love.wav,Unknown Artist,86.1,D major,10B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Self Love.wav
SERGIK - Conducter.wav,Unknown Artist,129.2,D minor,7A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Conducter.wav
SERGIK Ft. Janis & The Planets - Like A Daisy.wav,Unknown Artist,86.1,A minor,8A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK Ft. Janis & The Planets - Like A Daisy.wav
SERGIK - In The Streets - (Funkshway SRGFLp) V2.wav,Unknown Artist,117.5,A major,11B,6,funk,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - In The Streets - (Funkshway SRGFLp) V2.wav
SERGIK - Nimbus Ride.wav,Unknown Artist,117.5,D minor,7A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Nimbus Ride.wav
Sergik x DJ Epidemik x 1200Runway - No Time.wav,Unknown Artist,86.1,F# minor,11A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Sergik x DJ Epidemik x 1200Runway - No Time.wav
