filename,artist,bpm,key,camelot,energy,genres,format,path
"Daisy - Right Cheek, Left Cheek.mp3",Unknown Artist,143.6,A major,11B,6,,mp3,"/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Daisy - Right Cheek, Left Cheek.mp3"
SlowNMelloe.mp3,Unknown Artist,92.3,D minor,7A,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SlowNMelloe.mp3
Tenderly (0).wav,Unknown Artist,92.3,D minor,7A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Tenderly (0).wav
uncertain 1st.wav,Unknown Artist,78.3,E minor,9A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/uncertain 1st.wav
RTB- CD-6.aif,Unknown Artist,143.6,D major,10B,7,,aif,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/RTB- CD-6.aif
flip the phase v3.wav,Unknown Artist,143.6,E minor,9A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/flip the phase v3.wav
Trip Hop 8.mp3,Unknown Artist,136.0,A# minor,3A,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Trip Hop 8.mp3
TEST.wav,Unknown Artist,117.5,D minor,7A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/TEST.wav
[FREE] Benny The Butcher Type Beat - 40 KEYZ.mp3,Unknown Artist,89.1,F# minor,11A,5,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/[FREE] Benny The Butcher Type Beat - 40 KEYZ.mp3
Kavon - Rose Colored Goggles_72bpm_R1.mp3,Unknown Artist,95.7,G# minor,1A,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Kavon - Rose Colored Goggles_72bpm_R1.mp3
Janis and The Planets - Safespace (SERGIK Remix).wav,Unknown Artist,123.0,D minor,7A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Janis and The Planets - Safespace (SERGIK Remix).wav
ARZA - Swear Fo.mp3,Unknown Artist,92.3,F# minor,11A,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/ARZA - Swear Fo.mp3
Arza - California Dreams & Nightmares 144bpm E min.wav,Unknown Artist,143.6,E minor,9A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Arza - California Dreams & Nightmares 144bpm E min.wav
Jazzy Situation.mp3,Unknown Artist,80.7,D major,10B,6,jazz,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Jazzy Situation.mp3
