filename,artist_folder,path,size_mb,format,genres,bpm,is_sergik
SERGIK x ESHER - Just Dont 124bpm.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x ESHER - Just Dont 124bpm.wav,71.31,wav,,124,True
SERGIK - Gypsy - House 1.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Gypsy - House 1.wav,61.07,wav,house,,True
"DRE, Dilon Karim - Frustrated (Unreleased).wav",Unknown Artist,"/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/DRE, Dilon Karim - Frustrated (Unreleased).wav",57.42,wav,,,False
Realm Transfer.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Realm Transfer.wav,35.9,wav,,,False
SERGIK - Life 1.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Life 1.wav,55.95,wav,,,True
SERGIK - Juiced Up.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Juiced Up.wav,63.45,wav,,,True
SERGIK x Dillon Nathaniel - Moon Glazin.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Dillon Nathaniel - Moon Glazin.wav,62.85,wav,,,True
ARZA - Swear Fo 2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/ARZA - Swear Fo 2.wav,49.06,wav,,,False
SERGIK x Jetski - Code Name SERGSKI.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Jetski - Code Name SERGSKI.wav,62.48,wav,,,True
relaxation.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/relaxation.mp3,5.15,mp3,,,False
SERGIK  - Dreamer.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK  - Dreamer.wav,45.53,wav,,,True
Sergik - Freaky Up In Here.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik - Freaky Up In Here.wav,37.96,wav,,,True
SERGIK - In The Streets - (Funkshway SRGFLp) 1.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - In The Streets - (Funkshway SRGFLp) 1.wav,76.89,wav,funk,,True
SERGIK -Crowd Control (Amerika SRGFLiP).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK -Crowd Control (Amerika SRGFLiP).wav,50.79,wav,,,True
SERGIK - Have To Do It.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Have To Do It.wav,82.36,wav,,,True
SERGIK - What Is What 3.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - What Is What 3.wav,76.68,wav,,,True
Trip Hop 4.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Trip Hop 4.mp3,6.0,mp3,,,False
How I Work [vocals].mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/How I Work [vocals].mp3,5.87,mp3,,,False
SERGIK - How Ya.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - How Ya.wav,54.79,wav,,,True
Sergik x DJ Dalle - Its Your turn.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik x DJ Dalle - Its Your turn.wav,44.07,wav,,,True
RIdin.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/RIdin.wav,30.73,wav,,,False
Dunes of Dawn & Dilon Karim - Paranoia (UNR).mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Dunes of Dawn & Dilon Karim - Paranoia (UNR).mp3,15.86,mp3,,,False
SERGIK - Kouch Potato.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Kouch Potato.wav,7.81,wav,,,True
SERGIK x Javi - Smoke Break at Da Crib.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Javi - Smoke Break at Da Crib.wav,48.45,wav,,,True
Andino x Sergik - Tradicion master.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Andino x Sergik - Tradicion master.wav,67.29,wav,,,False
SERGIK - No Stopping.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - No Stopping.wav,65.37,wav,,,True
no love (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/no love (0).wav,19.52,wav,,,False
SERGIK - 49ers - Move Your Feet (remix).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - 49ers - Move Your Feet (remix).wav,62.98,wav,,,True
3 41 AM.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/3 41 AM.wav,22.8,wav,,,False
Cory Hill x SERGIK - Love.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Cory Hill x SERGIK - Love.wav,74.69,wav,,,False
SERGIK - Somthn L's.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Somthn L's.wav,75.7,wav,,,True
SERGIK x Francisco Josue - Let Me.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Francisco Josue - Let Me.wav,42.33,wav,,,True
SERGIK x Steve - Yard man.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Steve - Yard man.wav,45.78,wav,,,True
Lodin - A Letter From Home 2.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Lodin - A Letter From Home 2.mp3,15.26,mp3,,,False
Hidden World of Fungi (Instrumental)  - Michael Crowe x SERGIK.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Hidden World of Fungi (Instrumental)  - Michael Crowe x SERGIK.wav,39.13,wav,,,False
Cory Hill x SERGIK - Love 1.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Cory Hill x SERGIK - Love 1.wav,76.21,wav,,,False
SERGIK x L9V - 6 Hours In.2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x L9V - 6 Hours In.2.wav,63.81,wav,,,True
SERGIK x Silent Jay - Make Me Free.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay - Make Me Free.wav,66.44,wav,,,True
