project_path,project_name,parent_folder,created_time,modified_time,size_bytes,contains_sergik
/Users/machd/Downloads/IQSounds - Minimal Master Bundle (Part 1)/IQSounds - Dance Like That Project/IQSounds - Dance Like That.als,IQSounds - Dance Like That,IQSounds - Dance Like That Project,2021-05-11T19:14:58,2021-05-11T19:14:58,788331,False
/Users/machd/Downloads/IQSounds - Minimal Master Bundle (Part 1)/IQSounds - Dance Like That Project/Backup/IQSounds - Dance Like That [2021-05-11 191456].als,IQSounds - Dance Like That [2021-05-11 191456],Backup,2021-05-11T19:14:50,2021-05-11T19:14:50,790372,False
/Users/machd/Downloads/IQSounds - Minimal Master Bundle (Part 1)/IQSounds - Dirty Fish/IQSounds - It Feels Great (Ableton Template)/IQSounds - It Feels Great (Tech House) Project/IQSounds - It Feels Great (Tech House).als,IQSounds - It Feels Great (Tech House),IQSounds - It Feels Great (Tech House) Project,2021-08-21T20:47:38,2021-08-21T20:47:38,299786,False
/Users/machd/Downloads/IQSounds - Minimal Master Bundle (Part 1)/IQSounds - Dirty Fish/IQSounds - It Feels Great (Ableton Template)/IQSounds - It Feels Great (Tech House) Project/Backup/IQSounds - It Feels Great (Tech House) [2021-08-20 153445].als,IQSounds - It Feels Great (Tech House) [2021-08-20 153445],Backup,2021-08-20T15:34:40,2021-08-20T15:34:40,310157,False
/Users/machd/Downloads/IQSounds - Minimal Master Bundle (Part 1)/IQSounds - Dirty Fish/IQSounds - It Feels Great (Ableton Template)/IQSounds - It Feels Great (Tech House) Project/Backup/IQSounds - It Feels Great (Tech House) [2021-08-21 204739].als,IQSounds - It Feels Great (Tech House) [2021-08-21 204739],Backup,2021-08-20T15:34:46,2021-08-20T15:34:46,311254,False
/Users/machd/Downloads/ARZA x SERGIK - The Grind Project/ARZA x SERGIK - The Grind.als,ARZA x SERGIK - The Grind,ARZA x SERGIK - The Grind Project,2025-07-23T03:54:21,2025-07-23T03:54:21,362670,True
/Users/machd/Downloads/ARZA x SERGIK - The Grind Project/Backup/ARZA x SERGIK - The Grind [2025-07-23 032533].als,ARZA x SERGIK - The Grind [2025-07-23 032533],Backup,2025-07-23T03:25:25,2025-07-23T03:25:25,355625,True
/Users/machd/Downloads/ARZA x SERGIK - The Grind Project/Backup/ARZA x SERGIK - The Grind [2025-07-23 033304].als,ARZA x SERGIK - The Grind [2025-07-23 033304],Backup,2025-07-23T03:25:36,2025-07-23T03:25:36,355569,True
/Users/machd/Downloads/ARZA x SERGIK - The Grind Project/Backup/ARZA x SERGIK - The Grind [2025-07-23 035417].als,ARZA x SERGIK - The Grind [2025-07-23 035417],Backup,2025-07-23T03:47:27,2025-07-23T03:47:27,363233,True
/Users/machd/Downloads/ARZA x SERGIK - The Grind Project/Backup/ARZA x SERGIK - The Grind [2025-07-23 034723].als,ARZA x SERGIK - The Grind [2025-07-23 034723],Backup,2025-07-23T03:33:25,2025-07-23T03:33:25,359575,True
/Users/machd/Downloads/ARZA x SERGIK - The Grind Project/Backup/ARZA x SERGIK - The Grind [2025-07-23 033320].als,ARZA x SERGIK - The Grind [2025-07-23 033320],Backup,2025-07-23T03:33:11,2025-07-23T03:33:11,359568,True
