filename,artist_folder,bpm,key,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path
Trip Hop 3.mp3,Unknown Artist,,,164.26,44100,0,2,6.41,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Trip Hop 3.mp3
SERGIK x LODIN - Mercy (Club Master).wav,Unknown Artist,,,296.59,44100,24,2,74.84,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x LODIN - Mercy (Club Master).wav
SERGIK x Breauxxx - The Bag 130bpm (Techno SRGFLP)).wav,Unknown Artist,,,269.54,44100,24,2,68.02,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxxx - The Bag 130bpm (Techno SRGFLP)).wav
BeJanis x Sergik's Secret - Soul Infinite.wav,Unknown Artist,,,303.16,44100,24,2,76.5,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/BeJanis x Sergik's Secret - Soul Infinite.wav
SERGIK x Sean Hart x Sean Watson - Escapade.wav,Unknown Artist,,,349.09,44100,24,2,88.09,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Hart x Sean Watson - Escapade.wav
SERGIK - Astro Spore.wav,Unknown Artist,,,263.61,44100,0,2,44.35,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Astro Spore.wav
Old Fellas 4 (Sin Drum).mp3,Unknown Artist,,,223.56,44100,0,2,8.53,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Old Fellas 4 (Sin Drum).mp3
SERGIK - Something Sick.wav,Unknown Artist,,,296.0,44100,24,2,74.69,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Something Sick.wav
SERGIK - Radiowave Contact.wav,Unknown Artist,,,245.81,48000,24,2,67.51,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Radiowave Contact.wav
SERGIK x JIMII - Do it Yourself.wav,Unknown Artist,,,241.86,44100,24,2,61.03,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x JIMII - Do it Yourself.wav
SERGIK x Crosstick - Katana Ghost.wav,Unknown Artist,,,238.27,48000,24,2,65.44,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Crosstick - Katana Ghost.wav
8.12 - haus.mp3,Unknown Artist,,,126.82,44100,0,2,4.84,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/8.12 - haus.mp3
SERGIK - Cosmic Cadillac.wav,Unknown Artist,,,258.84,44100,24,2,65.32,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Cosmic Cadillac.wav
OG Coconut - sturdy_uh.wav,Unknown Artist,,,171.43,44100,0,2,28.84,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/OG Coconut - sturdy_uh.wav
Cold Sweat.wav,Unknown Artist,,,136.17,44100,0,2,45.82,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Cold Sweat.wav
SERIK x Stan The Guitarman - Well Known Treat.wav,Unknown Artist,,,285.25,44100,24,2,71.98,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERIK x Stan The Guitarman - Well Known Treat.wav
SERGIK  - It Is What It Is.wav,Unknown Artist,,,234.19,48000,24,2,64.32,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK  - It Is What It Is.wav
SERGIK - Dat Feelin.wav,Unknown Artist,,,278.1,44100,24,2,70.18,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Dat Feelin.wav
Ease (0).wav,Unknown Artist,,,91.26,44100,0,2,30.71,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Ease (0).wav
SERGIK - Crawling Vines.wav,Unknown Artist,,,224.62,48000,24,2,61.69,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Crawling Vines.wav
SERGIK - Musik Is The Answr.wav,Unknown Artist,,,220.65,44100,24,2,55.68,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Musik Is The Answr.wav
SHAKE THAT ASS FUNKERSIZE.wav,Unknown Artist,,,384.79,48000,0,2,140.92,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SHAKE THAT ASS FUNKERSIZE.wav
SERGIK x OffMedz_ - Around the World.wav,Unknown Artist,,,201.6,44100,24,2,50.87,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x OffMedz_ - Around the World.wav
SERGIK - After Party.wav,Unknown Artist,,,241.89,44100,24,2,61.04,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - After Party.wav
SERGIK - All Days.wav,Unknown Artist,,,243.78,44100,24,2,61.52,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - All Days.wav
SERGIK - GET ON MY VIBE.wav,Unknown Artist,,,235.89,44100,0,2,39.68,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - GET ON MY VIBE.wav
808 start up!.mp3,Unknown Artist,,,120.05,48000,0,2,4.58,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/808 start up!.mp3
SERGIK - Take A Walk.wav,Unknown Artist,,,218.88,48000,24,2,60.12,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Take A Walk.wav
DURO - no breakdown no vox 11.30.22.mp3,Unknown Artist,,,188.86,48000,0,2,7.2,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/DURO - no breakdown no vox 11.30.22.mp3
SERGIK - Happiness 2.wav,Unknown Artist,,,230.4,48000,24,2,63.28,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Happiness 2.wav
SERGIK x Silent Jay x Van - Viva Ponderosa.wav,Unknown Artist,,,228.57,44100,0,2,38.45,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay x Van - Viva Ponderosa.wav
SERGIK - Pop Musik.wav,Unknown Artist,,,246.72,44100,24,2,62.26,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Pop Musik.wav
SERGIK - Hustle Funkshway V2.wav,Unknown Artist,,,299.49,44100,24,2,75.57,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Hustle Funkshway V2.wav
SERGIK - Money Talk Bs Walk.wav,Unknown Artist,,,234.19,44100,24,2,59.1,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Money Talk Bs Walk.wav
Tang Wu (0).wav,Unknown Artist,,,128.78,44100,0,2,21.66,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Tang Wu (0).wav
SERGIK - Bouncy Bop.wav,Unknown Artist,,,216.77,44100,0,2,36.47,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Bouncy Bop.wav
