filename,artist,bpm,key,camelot,energy,phrases,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path
SERGIK x Breauxx - You Can't.wav,Music,86.1,D major,10B,5,Drop,235.2,44100,24,2,59.35,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxx - You Can't.wav
SERGIK - Electrify 2.wav,Music,86.1,D minor,7A,6,Chorus -> Drop,245.76,44100,24,2,62.02,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Electrify 2.wav
understood.wav,Music,92.3,F# minor,11A,5,Intro -> Drop,128.0,44100,0,2,21.53,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/understood.wav
SERGIK x OffMedz_ - Around the World 1.wav,Music,86.1,D major,10B,7,Chorus -> Drop,201.6,44100,24,2,50.87,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x OffMedz_ - Around the World 1.wav
SERGIK - Give It Up.wav,Music,123.0,D major,10B,7,Drop -> Outro,234.24,44100,24,2,59.11,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Give It Up.wav
Fly Aliens - SERGIC x NAM x Mateo Haze.wav,Music,123.0,F# major,2B,6,Intro -> Drop,139.87,44100,0,2,47.06,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Fly Aliens - SERGIC x NAM x Mateo Haze.wav
Overtime.wav,Music,89.1,A major,11B,5,Chorus -> Drop -> Chorus,170.67,44100,0,2,28.71,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Overtime.wav
SERGIK x OG Coconut - Do It.wav,Music,129.2,A minor,8A,6,Drop,241.9,44100,24,2,61.04,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x OG Coconut - Do It.wav
SERGIK - Dandy (BeJanis - Suade Remix) - CMaj - 99bpm.wav,Music,92.3,D major,10B,6,Chorus -> Drop,298.18,44100,24,2,75.24,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Dandy (BeJanis - Suade Remix) - CMaj - 99bpm.wav
SERGIK - Abduction.wav,Music,86.1,A major,11B,6,Drop,230.4,44100,24,2,58.14,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Abduction.wav
SERGIK x WWW - Heartbeat.wav,Music,92.3,A minor,8A,5,Chorus -> Drop,310.09,44100,24,2,78.25,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x WWW - Heartbeat.wav
SERGIK - Bless the Trap 2.wav,Music,86.1,A major,11B,6,Intro -> Drop,206.77,44100,24,2,52.18,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Bless the Trap 2.wav
Hip Hop 12.mp3,Music,143.6,F# minor,11A,5,Chorus -> Drop,144.72,44100,0,2,5.52,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Hip Hop 12.mp3
Arza - Figure It Out 135bpm Gb min.wav,Music,143.6,F# minor,11A,5,Drop,85.33,44100,0,2,28.71,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Arza - Figure It Out 135bpm Gb min.wav
SERGIK - Havn Fun.wav,Music,129.2,D major,10B,6,Drop,272.13,44100,24,2,68.67,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Havn Fun.wav
SERGIK - Funkdamentals.wav,Music,86.1,D major,10B,6,Chorus -> Drop,262.08,44100,24,2,66.13,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Funkdamentals.wav
SERGIK x Mateo Haze - Boss.wav,Music,117.5,D major,10B,5,Intro -> Drop,188.28,44100,24,2,47.51,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Mateo Haze - Boss.wav
