name,collaborator,size_mb,modified,path
Kit 1 [2019-02-10 171830],,0.76,2019-02-10,/Volumes/SERGIK/Music Production/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 171830].als
Kit 1 [2019-02-10 172255],,0.76,2019-02-10,/Volumes/SERGIK/Music Production/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 172255].als
W. A. Production - Tech House Angle,,0.76,2019-02-10,/Volumes/SERGIK/VST Downloads/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/W. A. Production - Tech House Angle.als
Kit 1 [2019-02-05 173242],,0.66,2019-02-05,/Volumes/SERGIK/VST Downloads/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-05 173242].als
Kit 1 [2019-02-05 182208],,0.68,2019-02-05,/Volumes/SERGIK/VST Downloads/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-05 182208].als
Kit 1 [2019-02-05 194741],,0.71,2019-02-05,/Volumes/SERGIK/VST Downloads/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-05 194741].als
Kit 1 [2019-02-09 174304],,0.75,2019-02-05,/Volumes/SERGIK/VST Downloads/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-09 174304].als
Kit 1 [2019-02-09 174828],,0.76,2019-02-09,/Volumes/SERGIK/VST Downloads/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-09 174828].als
Kit 1 [2019-02-10 011332],,0.76,2019-02-09,/Volumes/SERGIK/VST Downloads/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 011332].als
Kit 1 [2019-02-10 152831],,0.76,2019-02-10,/Volumes/SERGIK/VST Downloads/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 152831].als
Kit 1 [2019-02-10 171821],,0.76,2019-02-10,/Volumes/SERGIK/VST Downloads/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 171821].als
Kit 1 [2019-02-10 171830],,0.76,2019-02-10,/Volumes/SERGIK/VST Downloads/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 171830].als
Kit 1 [2019-02-10 172255],,0.76,2019-02-10,/Volumes/SERGIK/VST Downloads/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 172255].als
UNDRGRND SOUNDS - DG - Kits,,0.22,2019-06-13,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Drum_Hits/US_DG_Kits/Ableton/UNDRGRND SOUNDS - DG - Kits Project/UNDRGRND SOUNDS - DG - Kits.als
UNDRGRND SOUNDS - DG - Kits [2019-06-13 095422],,0.21,2019-06-13,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Drum_Hits/US_DG_Kits/Ableton/UNDRGRND SOUNDS - DG - Kits Project/Backup/UNDRGRND SOUNDS - DG - Kits [2019-06-13 095422].als
UNDRGRND SOUNDS - DG - Drum Formats,,0.36,2019-06-13,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Drum_Hits/US_DG_Drum_Formats/Ableton/UNDRGRND SOUNDS - DG - Drum Formats Project/UNDRGRND SOUNDS - DG - Drum Formats.als
UNDRGRND SOUNDS - DG - Drum Formats [2019-06-13 094646],,0.35,2019-06-13,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Drum_Hits/US_DG_Drum_Formats/Ableton/UNDRGRND SOUNDS - DG - Drum Formats Project/Backup/UNDRGRND SOUNDS - DG - Drum Formats [2019-06-13 094646].als
UNDRGRND SOUNDS - DG - Melodic Formats,,0.03,2019-06-13,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Melodic/US_DG_Melodic_Formats/Ableton/UNDRGRND SOUNDS - DG - Melodic Formats Project/UNDRGRND SOUNDS - DG - Melodic Formats.als
UNDRGRND SOUNDS - DG - Melodic Formats [2019-06-13 100239],,0.03,2019-06-13,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Melodic/US_DG_Melodic_Formats/Ableton/UNDRGRND SOUNDS - DG - Melodic Formats Project/Backup/UNDRGRND SOUNDS - DG - Melodic Formats [2019-06-13 100239].als
UNDRGRND Sounds - SM - Drum Formats,,0.37,2019-02-14,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND Sounds - Strictly Minimal - Wav/SM_One Shots/SM_Drum Hits /SM_Drum Formats/Ableton/UNDRGRND Sounds - SM - Drum Formats Project/UNDRGRND Sounds - SM - Drum Formats.als
UNDRGRND Sounds - SM - Drum Formats [2019-02-14 143618],,0.36,2019-02-14,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND Sounds - Strictly Minimal - Wav/SM_One Shots/SM_Drum Hits /SM_Drum Formats/Ableton/UNDRGRND Sounds - SM - Drum Formats Project/Backup/UNDRGRND Sounds - SM - Drum Formats [2019-02-14 143618].als
UNDRGRND Sounds - SM - Kits,,0.21,2019-02-14,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND Sounds - Strictly Minimal - Wav/SM_One Shots/SM_Drum Hits /SM_Kits/Ableton/UNDRGRND Sounds - SM - Kits Project/UNDRGRND Sounds - SM - Kits.als
UNDRGRND Sounds - SM - Kits [2019-02-14 144516],,0.21,2019-02-14,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND Sounds - Strictly Minimal - Wav/SM_One Shots/SM_Drum Hits /SM_Kits/Ableton/UNDRGRND Sounds - SM - Kits Project/Backup/UNDRGRND Sounds - SM - Kits [2019-02-14 144516].als
UNDRGRND Sounds - SM - Melodic Formats,,0.04,2019-02-14,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND Sounds - Strictly Minimal - Wav/SM_One Shots/SM_Melodic Hits/SM_Melodic Formats/Ableton/UNDRGRND Sounds - SM - Melodic Formats Project/UNDRGRND Sounds - SM - Melodic Formats.als
UNDRGRND Sounds - SM - Melodic Formats [2019-02-14 152517],,0.04,2019-02-14,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND Sounds - Strictly Minimal - Wav/SM_One Shots/SM_Melodic Hits/SM_Melodic Formats/Ableton/UNDRGRND Sounds - SM - Melodic Formats Project/Backup/UNDRGRND Sounds - SM - Melodic Formats [2019-02-14 152517].als
UNDRGRND SOUNDS - DS - Kits,,0.21,2019-04-11,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND SOUNDS - Dirty South - Wav/US_DS_Drum_Shots/US_DS_Kits/Ableton/UNDRGRND SOUNDS - DS - Kits Project/UNDRGRND SOUNDS - DS - Kits.als
UNDRGRND SOUNDS - DS - Kits [2019-04-11 135651],,0.21,2019-04-11,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND SOUNDS - Dirty South - Wav/US_DS_Drum_Shots/US_DS_Kits/Ableton/UNDRGRND SOUNDS - DS - Kits Project/Backup/UNDRGRND SOUNDS - DS - Kits [2019-04-11 135651].als
UNDRGRND SOUNDS - DS - Kits [2019-04-11 135746],,0.21,2019-04-11,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND SOUNDS - Dirty South - Wav/US_DS_Drum_Shots/US_DS_Kits/Ableton/UNDRGRND SOUNDS - DS - Kits Project/Backup/UNDRGRND SOUNDS - DS - Kits [2019-04-11 135746].als
UNDRGRND SOUNDS - DS - Drum Formats,,0.6,2019-04-11,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND SOUNDS - Dirty South - Wav/US_DS_Drum_Shots/US_DS_Drum Formats/Ableton/UNDRGRND SOUNDS - DS - Drum Formats Project/UNDRGRND SOUNDS - DS - Drum Formats.als
UNDRGRND SOUNDS - DS - Drum Formats [2019-04-11 135203],,0.6,2019-04-11,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND SOUNDS - Dirty South - Wav/US_DS_Drum_Shots/US_DS_Drum Formats/Ableton/UNDRGRND SOUNDS - DS - Drum Formats Project/Backup/UNDRGRND SOUNDS - DS - Drum Formats [2019-04-11 135203].als
UNDRGRND Sounds - TS2 - Stabs Formats,,0.03,2019-01-10,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND Sounds - Techno Stabs 2 - Wav/TS2_Stabs/Stabs Formats/Ableton/UNDRGRND Sounds - TS2 - Stabs Formats Project/UNDRGRND Sounds - TS2 - Stabs Formats.als
UNDRGRND Sounds - DMH - Melodic Formats,,0.03,2019-03-07,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND Sounds - Deep Melodic Horizons - Wav/DMH_Melodic One Shots/Melodic Formats/Ableton/UNDRGRND Sounds - DMH - Melodic Formats Project/UNDRGRND Sounds - DMH - Melodic Formats.als
UNDRGRND Sounds - DMH - Melodic Formats [2019-03-07 191304],,0.03,2019-03-07,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND Sounds - Deep Melodic Horizons - Wav/DMH_Melodic One Shots/Melodic Formats/Ableton/UNDRGRND Sounds - DMH - Melodic Formats Project/Backup/UNDRGRND Sounds - DMH - Melodic Formats [2019-03-07 191304].als
UNDRGRND SOUNDS - DG - Kits,,0.22,2019-06-13,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND The House Collection/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Drum_Hits/US_DG_Kits/Ableton/UNDRGRND SOUNDS - DG - Kits Project/UNDRGRND SOUNDS - DG - Kits.als
UNDRGRND SOUNDS - DG - Kits [2019-06-13 095422],,0.21,2019-06-13,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND The House Collection/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Drum_Hits/US_DG_Kits/Ableton/UNDRGRND SOUNDS - DG - Kits Project/Backup/UNDRGRND SOUNDS - DG - Kits [2019-06-13 095422].als
UNDRGRND SOUNDS - DG - Drum Formats,,0.36,2019-06-13,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND The House Collection/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Drum_Hits/US_DG_Drum_Formats/Ableton/UNDRGRND SOUNDS - DG - Drum Formats Project/UNDRGRND SOUNDS - DG - Drum Formats.als
UNDRGRND SOUNDS - DG - Drum Formats [2019-06-13 094646],,0.35,2019-06-13,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND The House Collection/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Drum_Hits/US_DG_Drum_Formats/Ableton/UNDRGRND SOUNDS - DG - Drum Formats Project/Backup/UNDRGRND SOUNDS - DG - Drum Formats [2019-06-13 094646].als
UNDRGRND SOUNDS - DG - Melodic Formats,,0.03,2019-06-13,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND The House Collection/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Melodic/US_DG_Melodic_Formats/Ableton/UNDRGRND SOUNDS - DG - Melodic Formats Project/UNDRGRND SOUNDS - DG - Melodic Formats.als
UNDRGRND SOUNDS - DG - Melodic Formats [2019-06-13 100239],,0.03,2019-06-13,/Volumes/SERGIK/Drumkit DL unzipped/UNDRGRND The Bundle 2/UNDRGRND The House Collection/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Melodic/US_DG_Melodic_Formats/Ableton/UNDRGRND SOUNDS - DG - Melodic Formats Project/Backup/UNDRGRND SOUNDS - DG - Melodic Formats [2019-06-13 100239].als
DN_VOL.1_DEMO PROJECT,,0.11,2019-06-29,/Volumes/SERGIK/Drumkit DL unzipped/Distilled Noise Minimal and Micro House Sample Pack Vol.1 WAV/DN_VOL.1_DEMO PROJECT.als
